id,e-search,e-entry,t-entry,e-cat,t-related,e-syn,e-ant
79785,wady,wady,บริเวณลำน้ำหรือลำธารที่แห้งผาก,N,ยกเว้นในช่วงฤดูฝน (อยู่ทางแอฟริกาเหนือ ตะวันออกกลางและเอเชียใต้),,
79786,wady,wady,แหล่งอุดมสมบูรณ์ในทะเลทราย,N,,oasis,
79787,wafer,wafer,ขนมอบกรอบบาง รสหวานมักกินกับไอศกรีม,N,เวเฟอร์,biscuit; cracker,
79788,wafer,wafer,แผ่นชิพหรือไมโครชิพ (ทางวิศกรรมไฟฟ้า),N,เวเฟอร์,,
79789,waff,waff,พัด,VT,"กระพือ,ปลิว",flutter; waft; wave,
79790,waff,waff,พัด,VI,"กระพือ,ปลิว",flutter; waft; wave,
79791,waffle,waffle1,ขนมอบลักษณะคล้ายตะแกรง,N,วาฟเฟิล,pancake; crepe,
79792,waffle,waffle2,ลังเลใจ (คำไม่เป็นทางการ),VI,ตัดสินใจไม่ได้,dither; oscillate; vacillate,decide
79793,waffle,waffle2,คำพูดหรือข้อเขียนที่ไม่ชัดเจน (คำไม่เป็นทางการ),N,คำพูดหรือข้อเขียนที่คลุมเครือ,,
79794,waffler,waffler,ผู้พูดหรือเขียนคลุมเครือ,N,,,
79795,wafflingly,waffling,ซึ่งพูดหรือเขียนคลุมเครือ,ADJ,,,
79796,waffly,waffly,ซึ่งพูดหรือเขียนคลุมเครือ,ADJ,,,
79797,waft,waft,ล่องลอยในอากาศ,VI,,drift; float,
79798,waft,waft,ทำให้ล่องลอยในอากาศ,VT,,,
79799,waft,waft,กลิ่นจางๆ (มักเป็นกลิ่นหอม),N,,,
79800,waft,waft,การพัดเบาๆ,N,,puff,
79801,waft,waft,ลมที่พัดโชยเบาๆ,N,ลมพัดอ่อนๆ,breeze,
79802,waft,waft,สัญญาณธง,N,,,
79803,waftage,waftage,การล่องลอยไปในอากาศ,N,,"waffing, conveyance",
79804,wafting,wafting,ซึ่งล่องลอยไป,ADJ,,floating,
79805,wafture,wafture,การโบกไปมา,N,,waft,
79806,wag,wag,แกว่งไปมา,VT,กระดิกไปมา,shake; sway; swing,
79807,wag,wag,แกว่งไปมา,VI,กระดิกไปมา,shake; sway; swing,
79808,wag,wag,การแกว่งไปมา,N,,,
79809,wag,wag,ซุบซิบนินทา,VI,,chatter; gossip,
79810,wage,wage,ค่าจ้าง,N,ค่าแรง,emolument; pay; salary; wages,
79811,wage,wage,เข้าร่วม (ต่อสู้),VT,,,
79812,wage-earner,wage-earner,คนทำงานรับค่าจ้าง,N,ผู้ทำงานรับจ้าง,employee; wage-worker,
79813,wager,wager,การพนัน,N,,bet,
79814,wager,wager,พนัน,VT,วางเดิมพัน,bet; gamble,
79815,wagerer,wagerer,ผู้วางเดิมพัน,N,ผู้ท้าพนัน,,
79816,wage-worker,wage-worker,คนทำงานรับค่าจ้าง,N,ผู้ทำงานรับจ้าง,employee; wage-earner; salaryman,
79817,wagger,wagger,ผู้ส่าย,N,"ผู้กระดิก, ผู้แกว่งไปมา",,
79818,waggery,waggery,การพูดตลกขบขันและมีไหวพริบ,N,(คำไม่เป็นทางการและล้าสมัย),joke; wit,
79819,waggish,waggish,ตลกขบขัน (คำล้าสมัย),ADJ,,humorous; jocular; witty,
79820,waggishly,waggishly,อย่างตลกขับขัน,ADV,,humorously,
79821,waggishness,waggishness,การพูดจาตลกขบขันและมีไหวพริบ,N,(คำล้าสมัย),,
79822,waggle,waggle,แกว่งไปมา,VT,กระดิก,shake; sway; wobble,
79823,waggle,waggle,แกว่งไปมา,VI,กระดิก,shake; sway; wobble,
79824,waggle,waggle,การแกว่งไปมา,N,การเคลื่อนไหวไปมา,,
79825,waggly,waggly,แกว่งไปมา,ADJ,โยกไปโยกมา,,
79826,waggon,waggon,รถสี่ล้อที่มีเครื่องยนต์หรือลากด้วยม้า,N,ใช้สำหรับขนของต่างๆ,wagon,
79827,waggon,waggon,รถขนส่งนักโทษของตำรวจ,N,,wagon,
79828,waggon,waggon,รถเด็กเล่นใช้ลากหรือจูง,N,,wagon,
79829,waggon,waggon,รถเข็นที่ใช้เสิร์ฟอาหารหรือเครื่องดื่ม,N,,wagon,
79830,waggon,waggon,ตู้สินค้าของรถไฟ,N,,freight car,
79831,waggonette,waggonette,รถสี่ล้อใช้ม้าลาก มีเก้าอี้นั่ง2ข้าง,N,,wagonette,
79832,waggonload,waggonload,ปริมาณที่รถบรรทุกได้,N,,heap; load; wagonload; lorry load,
79833,waggon,wagon,รถสี่ล้อที่มีเครื่องยนต์หรือลากด้วยม้า,N,,waggon,
79834,waggon,wagon,รถขนส่งนักโทษของตำรวจ,N,,waggon; paddy wagon; patrol wagon,
79835,waggon,wagon,รถเด็กเล่นใช้ลากหรือจูง,N,,waggon,
79836,waggon,wagon,รถเข็นที่ใช้เสิร์ฟอาหารหรือเครื่องดื่ม,N,,waggon,
79837,waggon,wagon,ตู้สินค้าของรถไฟ,N,,waggon; freight car,
79838,wagon train,wagon train,ขบวนคาราวานซึ่งใช้ในการเดินทางช่วงศตวรรษที่ 19,N,,caravan,
79839,wagoner,wagoner,ผู้ขับรถขนส่งสินค้า,N,,driver,
79840,wagonette,wagonette,รถสี่ล้อใช้ม้าลาก มีเก้าอี้นั่งสองข้าง,N,,waggonette,
79841,waggon-lit,wagon-lit,ตู้นอนในขบวนรถไฟของยุโรป,N,,,
79842,wagonload,wagonload,ปริมาณสัมภาระที่รถบรรทุกได้,N,,heap; load; waggonload; lorry load,
79843,wagtail,wagtail,นกขนาดเล็ก มีหางยาว,N,,,
79844,Wahabi,Wahabi,ผู้นับถือศาสนาอิสลามนิกายหนึ่งอย่างเคร่งครัด,N,,Wahhabi,
79845,Wahhabi,Wahhabi,ผู้นับถือศาสนาอิสลามนิกายหนึ่งอย่างเคร่งครัด,N,,Wahabi,
79846,Wahhabism,Wahhabism,การนับถือศาสนาอิสลามนิกายหนึ่งอย่างเคร่งครัด,N,,,
79847,wahine,wahine,ผู้หญิงฮาวาย,N,,pron; wa-hee'-nee,
79848,wahine,wahine,หญิงสาวที่เล่นกระดานโต้คลื่น,N,,,
79849,wah-wah,wah-wah,เสียงเครื่องดนตรีที่เกิดจากเทคนิคการทำเสียงพิเศษ,N,,wa-wa,
79850,waif,waif,เด็กที่ถูกทอดทิ้ง,N,"เด็กจรจัด, เด็กข้างถนน",homeless; orphan; street child,
79851,waif,waif,สัตว์เลี้ยงที่หลงทาง,N,,stray,
79852,waif,waif,คนหนุ่มสาวที่มีรูปร่างบอบบางและดูยากจน,N,,,
79853,wail,wail,ร้องไห้คร่ำครวญ,VI,,groan; lament; moan; whine,
79854,wail,wail,ร้องไห้คร่ำครวญ,VT,,,
79855,wail,wail,ส่งเสียงร้องแหลมยาว,VI,,,
79856,wail,wail,การส่งเสียงร้องแหลมยาว,N,เสียงร้องคร่ำครวญ,,
79857,wailer,wailer,ผู้ร้องคร่ำครวญ,N,,complainer; whiner,
79858,wailful,wailful,ซึ่งส่งเสียงคร่ำครวญ,ADJ,,mournful; sorrowful,
79859,wailfully,wailfully,อย่างคร่ำครวญ,ADV,,mournfully; sorrowfully,
79860,wailing,wailing,เสียงร้องแหลมยาว,N,เสียงคร่ำครวญ,wail; lamentation; mourning; weeping,
79861,wain,wain,รถบรรทุกหรือเกวียนที่สำหรับบรรทุกผลิตผลทางการเกษตร,N,(คำโบราณ) (ทางวรรณคดี),,
79862,wainscot,wainscot,การบุหรือประกบผนังห้องด้วยแผ่นไม้,N,การประกบผนังด้วยแผ่นไม้,paneling; wainscoting,
79863,wainscot,wainscot,บุผนังด้วยแผ่นไม้,VT,,,
79864,wainscoting,wainscoting,การบุหรือประกบผนังห้องด้วยแผ่นไม้,N,การประกบผนังด้วยแผ่นไม้,wainscot,
79865,wainwright,wainwright,ช่างทำและซ่อมรถสี่ล้อที่ใช้บรรทุกสิ่งของต่างๆ,N,,wagon-maker; wheelwright,
79866,waist,waist,เอว,N,"สะเอว, บั้นเอว, ส่วนโค้งของร่างกายระหว่างซี่โครงกับสะโพก",waistline; waistband; midriff,
79867,waist,waist,ส่วนของเสื้อผ้าที่อยู่บริเวณเอว,N,,bodice; blouse; shirtwaist,
79868,waist,waist,ส่วนตรงกลางที่แคบของวัตถุ,N,,,
79869,waistband,waistband,แถบผ้าตรงส่วนเอวของกระโปรงหรือกางเกง,N,,,
79870,waistcloth,waistcloth,ผ้าเตี่ยว,N,,breechcloth; loincloth,
79871,waistcoat,waistcoat,เสื้อกั๊ก,N,,vest; weskit,
79872,waistcoated,waistcoated,ซึ่งสวมเสื้อกั๊ก,ADJ,,,
79873,waist-deep,waist-deep,ซึ่งสูงถึงระดับเอว,ADJ,,,
79874,waist-high,waist-high,ซึ่งมาถึงระดับเอว,ADJ,,,
79875,waistless,waistless,ซึ่งไม่มีเอว,ADJ,,,
79876,waistline,waistline,รอบเอว,N,ความยาวของรอบเอว,waist,
79877,waistline,waistline,ส่วนเอวของชุดกระโปรง,N,,,
79878,wait,wait,รอคอย,VI,,await,leave
79879,wait,wait,รั้งรอ,VI,หยุดหรือทำช้าๆ เพื่อให้ผู้อื่นตามทัน,bide; linger; pause,continue; proceed; progress
79880,wait,wait,ถูกเลื่อนออกไป,VI,,,
79881,wait,wait,เลื่อนออกไป (การเสิร์ฟอาหาร),VT,,,
79882,wait,wait,ทำงานเป็นบริกร,VI,ทำงานเสิร์ฟอาหาร,,
79883,wait,wait,ทำงานเป็นบริกร,VT,,,
79884,wait,wait,เวลาที่ใช้ในการรอคอย,N,,halt; time wasted; delay; pause,
79885,wait,wait (be waiting),พร้อมที่จะใช้การได้,VI,,,be gone
79886,wait-a-bit,wait-a-bit,ต้นไม้ซึ่งมีหนามแหลม,N,,,
79887,waiter,waiter,บริกรชาย,N,พนักงานรับใช้ในร้านอาหารที่เป็นชาย,steward; attendant; server,
79888,waiter,waiter,ถาดที่ใช้เสิร์ฟอาหาร,N,,salver; tray,
79889,waiting,waiting,การรอคอย,N,ช่วงเวลาที่ใช้ในการรอคอย,,
79890,waiting,waiting,ซึ่งรอคอย,N,,standing; expecting,moving; hurrying
79891,waiting list,waiting list,รายชื่อของคนที่รอคิวอยู่ (เช่น รอโต๊ะในร้านอาหาร),N,,,
79892,waiting maid,waiting maid,หญิงรับใช้ (ที่คอยรับใช้ส่วนตัว),N,,waiting woman,
79893,waiting room,waiting room,ห้องที่ใช้นั่งรอ,N,,,
79894,waiting woman,waiting woman,หญิงรับใช้ (ที่คอยรับใช้ส่วนตัว),N,,waiting maid,
79895,waitperson,waitperson,บริกร,N,พนักงานรับใช้ในร้านอาหาร,waiter; waitress,
79896,waitress,waitress,บริกรหญิง,N,พนักงานรับใช้หญิงในร้านอาหาร,,
79897,waive,waive,สละสิทธิ์,VT,,disclaim; relinquish; renounce,
79898,waive,waive,ระงับไว้ชั่วคราว,VT,,,
79899,waiver,waiver,การสละสิทธิ์,N,,abandonment; relinquishment; surrender,
79900,waiver,waiver,เอกสารแสดงการสละสิทธ์,N,หนังสือแสดงการสละสิทธิ์,,
79901,wake,wake1,ปลุกให้ตื่น,VT,ทำให้ตื่น,arouse; awaken; rouse,
79902,wake,wake1,ตื่นนอน,VI,,arouse; awaken; rouse,
79903,wake,wake1,ทำให้ตื่นตัว,VT,,,
79904,wake,wake1,ตื่นตัว,VI,,,
79905,wake,wake1,ทำให้รับรู้,VT,,,
79906,wake,wake1,รับรู้,VI,,,
79907,wake,wake1,เฝ้าศพก่อนฝังหรือทำพิธี,VI,,,
79908,wake,wake1,การเฝ้าศพก่อนฝังหรือทำพิธี,N,,deathwatch,
79909,wake,wake2,ร่องรอยทางน้ำที่เรือหรือสิ่งอื่นใดแล่นผ่านไป,N,,,
79910,wake,wake2,ร่องรอยทางอากาศหลังจากเครื่องบินบินผ่านไป,N,,,
79911,wake,wake2,ตำแหน่งหรือพื้นที่ด้านหลัง,N,,,
79912,wake,wake2,ผลกระทบที่ตามมา,N,,aftereffects,
79913,wakeful,wakeful,ที่ไม่สามารถหลับได้,ADJ,ที่นอนไม่หลับ,sleepless,
79914,wakeful,wakeful,ที่ตื่นอยู่,ADJ,ที่ไม่หลับ,,
79915,wakeful,wakeful,ที่ตื่นตัว,ADJ,,alert; vigilant; wide-awake,asleep; dormant
79916,wakefully,wakefully,อย่างตื่นตัว,ADV,,,
79917,wakefulness,wakefulness,การตื่นตัว,N,การนอนไม่หลับ,,
79918,wakeless,wakeless,ที่ไม่ถูกรบกวนขณะหลับ,ADJ,ที่ไม่ถูกปลุกขณะหลับอยู่,,
79919,waken,waken,ปลุกให้ตื่น (คำทางการ),VT,,awaken; rouse; wake,
79920,waken,waken,ตื่นนอน (คำทางการ),VI,,awaken; rouse; wake,
79921,waker,waker,ผู้ตื่น,N,ผู้ปลุกให้ตื่น,,
79922,waking,waking,ตื่นตัว,ADJ,ซึ่งเต็มไปด้วยสติสัมปชัญญะ,awake; wakeful; wide-awake,asleep; dormant
79923,Waldorf salad,Waldorf salad,สลัดชนิดหนึ่ง,N,,,
79924,wale,wale,รอยนูนบนผิวหนังที่เกิดจากการเฆี่ยนตี,N,แนวแส้,weal; welt; wheal,
79925,wale,wale,ทำให้เกิดรอยนูนบนผิวหนังโดยการเฆี่ยนตี,VT,,,
79926,Wales,Wales,แคว้นเวลส์ของประเทศอังกฤษ,N,,,
79927,walk,walk,เดิน,VI,ก้าวเดิน,pace; pad; toddle,
79928,walk,walk,ท่องเที่ยวไปด้วยการเดินเท้า,VT,เดินทางด้วยเท้า,,
79929,walk,walk,การเดินทางโดยทางเท้า,N,,,
79930,walk,walk,พาสัตว์เลี้ยงไปออกกำลังด้วยการเดิน,VT,,,
79931,walk,walk,ช่วยให้เดิน,VT,พยุงให้เดิน,,
79932,walk,walk,ระยะทางที่เดินทางด้วยเท้า,N,,,
79933,walk,walk,ช่วงเวลาที่เดินทางด้วยเท้า,N,,,
79934,walk,walk,ท่วงท่าในการเดิน,N,,gait,
79935,walk,walk,เคลื่อนย้ายวัตถุขนาดใหญ่ในลักษณะคล้ายการเดิน,VT,,,
79936,walk,walk,วัดความยาวด้วยจำนวนก้าว,VT,,,
79937,walk,walk,หายไป (คำไม่เป็นทางการ),VI,ถูกขโมยไป,,
79938,walk,walk,ประท้วงด้วยการเดิน (คำไม่เป็นทางการ),VI,,,
79939,walk,walk,ได้รับการปล่อยตัวจากคุก (คำสแลง),VI,ได้รับการพิจารณาว่าบริสุทธิ์,,
79940,walk,walk,การเหยาะย่างของม้า,N,,,
79941,walkability,walkability,ความสามารถเดินได้,N,,,
79942,walkable,walkable,ซึ่งสามารถเดินได้,ADJ,,,
79943,walkabout,walkabout,การเดินทางในป่าของชนเผ่าอะบอริจิ้นในออสเตรเลีย,N,,,
79944,walkabout,walkabout,การเดินทางด้วยการเดิน (คำไม่เป็นทางการ),N,,,
79945,walkabout,walkabout,การเดินไปท่ามกลางฝูงชนของบุคคลสำคัญหรือมีชื่อเสียง,N,,,
79946,walkathon,walkathon,การแข่งขันเดินทน,N,,,
79947,walkaway,walkaway,การชนะอย่างง่ายดาย (คำสแลง),N,การพิชิตได้อย่างง่ายดาย,,
79948,walkaway,walkaway,สิ่งที่ทำให้สำเร็จได้โดยง่าย (คำไม่เป็นทางการ),N,,,
79949,walker,walker,ผู้เดินเท้า,N,,pedestrain; rover; roamer; passerby,
79950,walker,walker,โครงมีล้อสำหรับเด็กหัดเดิน,N,โครงตั้งสำหรับเด็กหัดเดิน,,
79951,walker,walker,ิอุปกรณ์ช่วยเดิน,N,,,
79952,walkie-talkie,walkie-talkie,เครื่องรับส่งวิทยุมือถือ,N,,field radio; two-way radio,
79953,walk-in,walk-in,ที่กว้างหรือใหญ่พอที่จะเข้าไปได้,ADJ,,,
79954,walk-in,walk-in,ซึ่งตั้งอยู่ริมถนน,ADJ,ซึ่งอยู่ริมถนน,,
79955,walk-in,walk-in,ห้องเย็น,N,,,
79956,walk-in,walk-in,ชัยชนะที่ได้มาอย่างง่ายดาย,N,,,
79957,walk-in,walk-in,ลูกค้าหรือผู้ใช้บริการที่มาโดยไม่ได้นัดหมายล่วงหน้า,N,(คำไม่เป็นทางการ),,
79958,walking,walking,ซึ่งสามารถเดินได้,ADJ,,on foot; afoot; strolling; rambling,
79959,walking beam,walking beam,คานไม้หรือโลหะที่ใช้ช่วยในการเดิน,N,,,
79960,walking stick,walking stick,ไม้เท้า,N,,cane; staff; stick,
79961,walk-on,walk-on,ตัวแสดงประกอบในภาพยนตร์หรือละคร,N,,actor,
79962,walkout,walkout,การหยุดงานเพื่อประท้วง,N,,strike,
79963,walkout,walkout,การเดินออกไปเพื่อแสดงความไม่เห็นด้วย,N,การเดินออกจากที่ประชุมเพื่อประท้วง,,
79964,walkover,walkover,ชัยชนะที่ได้มาโดยง่าย (คำไม่เป็นทางการ),N,,,
79965,walkover,walkover,การแข่งม้าที่มีม้าเข้าแข่งเพียงตัวเดียว,N,,walk-in,
79966,walk-up,walk-up,อาคารหลายชั้นที่ไม่มีลิฟต์ (คำไม่เป็นทางการ),N,,apartment,
79967,walkway,walkway,ทางเดินเท้า,N,ทางเท้า,footpath; pavement; sidewalk,
79968,walky-talky,walky-talky,เครื่องรับส่งวิทยุมือถือ,N,,walkie-talkie,
79969,wall,wall,ผนังห้อง,N,,,
79970,wall,wall,กำแพง,N,หินที่ก่อขึ้นเป็นรั้ว,barricade; barrier; block,
79971,wall,wall,สิ่งที่ไม่อาจทะลุผ่านไปได้,N,,,
79972,wall,wall,ตั้งกำแพงล้อมรอบ,VT,"ล้อมรอบด้วยกำแพง, สร้างกำแพงล้อมรอบ",,
79973,wall,wall,แบ่งพื้นที่ด้วยกำแพง,VT,,,
79974,wall,wall,สิ่งที่เป็นอุปสรรค,N,,barrier; bar; block; entanglement; resistance,
79975,wall,wall,ผนังของอวัยวะในร่างกาย (เช่น ผนังมดลูก),N,,,
79976,Wall Street,Wall Street,ถนนวอลสตรีท เป็นถนนในกรุงนิวยอร์ก,N,ย่านศูนย์กลางทางธุรกิจและการเงินสำคัญของสหรัฐอเมริกา,,
79977,Wall Street,Wall Street,ตลาดหุ้นหรือตลาดการเงินสำคัญของสหรัฐอเมริกา,N,ตลาดหุ้นวอลสตรีท,,
79978,walla,walla,ผู้รับผิดชอบ,N,,wallah,
79979,wallaby,wallaby,จิงโจ้ขนาดเล็กหรือขนาดกลางในตระกูล Macropodidae,N,,,
79980,wallah,wallah,ผู้รับผิดชอบ,N,,walla,
79981,wallah,wallah,ผู้ที่มีหน้าที่รับผิดชอบเรื่องหนึ่งเรื่องใดโดยเฉพาะ,N,(คำไม่เป็นทางการ),walla,
79982,wallboard,wallboard,แผ่นผนังที่อยู่ภายในกำแพง,N,,drywall; gypsum board; plasterboard,
79983,wallcovering,wallcovering,แผ่นกระดาษ สิ่งทอหรือพลาสติกที่ใช้ปิดฝาผนังของห้อง,N,,,
79984,wallet,wallet,กระเป๋าขนาดเล็กที่ทำจากหนังหรือพลาสติก,N,,billfold; pocketbook,
79985,wallet,wallet,โปรแกรมการซื้อขายสินค้าทางอินเตอร์เน็ต (ทางคอมพิวเตอร์),N,,,
79986,wallet,wallet,ซองที่ใช้ใส่เอกสารหรือรูปภาพ,N,,,
79987,walleye,walleye,ปลาน้ำจืดขนาดใหญ่ในแถบทวีปอเมริกาเหนือ,N,ชื่อละตินคือ Stizostedion vitreum,pikeperch; walleyed pike,
79988,walleyed,walleyed,ตาถลน,ADJ,ตาโปน,,
79989,wallflower,wallflower,พืชสวนประเภท Cheiranthus cheiri,N,ดอกมีกลิ่นหอมและบานในฤดูใบไม้ผลิ,,
79990,Walloon,Walloon,ชาวเบลเยียมทางใต้ซึ่งพูดภาษาฝรั่งเศส,N,,,
79991,wallop,wallop,ตีอย่างแรง (คำไม่เป็นทางการ),VT,หวดอย่างแรง,beat; strike; thresh,
79992,wallop,wallop,ทำให้พ่ายแพ้อย่างราบคาบ (คำไม่เป็นทางการ),VT,,,
79993,wallop,wallop,การตีอย่างแรง (คำไม่เป็นทางการ),N,"การหวดอย่างแรง, การเฆี่ยนอย่างแรง",,
79994,wallop,wallop,ความสามารถในการตีอย่างแรง (คำไม่เป็นทางการ),N,,,
79995,walloper,walloper,ผู้ตีหรือเฆี่ยนอย่างแรง,N,,walloper,
79996,walloping,walloping,การตีหรือเฆี่ยนเสียงดัง,N,,,
79997,walloping,walloping,ซึ่งมีขนาดใหญ่มาก (คำไม่เป็นทางการ),ADJ,,huge; large; enormous,
79998,wallow,wallow,เกลือกกลิ้ง,VI,"กลิ้งตัว, กลิ้งเกลือก",,
79999,wallow,wallow,หลงมัวเมา,VI,,indulge; luxuriate; revel,
80000,wallow,wallow,มีจำนวนมาก,VI,,,
80001,wallow,wallow,เดินด้วยความยากลำบาก (เหมือนกับอยู่ในโคลนเลน),VI,,,
80002,wallow,wallow,การเกลือกกลิ้ง,N,,,
80003,wallow,wallow,บริเวณที่สัตว์มาเกลือกกลิ้ง (เช่น ปลัก),N,บริเวณโคลนเลนสำหรับให้สัตว์มาเกลือกกลิ้ง,,
80004,wallow,wallow,สภาพที่เสื่อมทรามลง,N,,,
80005,wallower,wallower,ผู้กลิ้งตัว,N,"ผู้เกลือกกลิ้ง, ผู้เกลือกกลั้ว",,
80006,wallpaper,wallpaper,กระดาษบุผนังหรือเพดาน,N,,,
80007,wallpaper,wallpaper,ภาพกราฟฟิกที่เป็นพื้นบนจอคอมพิวเตอร์,N,,,
80008,wallpaper,wallpaper,ปิดผนังด้วยกระดาษบุผนัง,VT,ตกแต่งผนังด้วยกระดาษบุผนัง,redecorate,
80009,wallpaper,wallpaper,ปิดผนังด้วยกระดาษบุผนัง,VI,ตกแต่งผนังด้วยกระดาษบุผนัง,,
80010,wall-to-wall,wall-to-wall,ซึ่งปกคลุมพื้นทั้งหมดของห้อง,ADJ,,,
80011,wally,wally,คนโง่ (คำสแลง),N,คนงี่เง่า,,
80012,walnut,walnut,ต้นหรือผลวอลนัท กินได้ มีเปลือกแข็งและรอยหยักรอบๆ,N,ต้นมันฮ่อ,,
80013,walrus,walrus,สัตว์ทะเลพวกเดียวกับสิงโตทะเลและแมวน้ำ,N,ชื่อละตินคือ Odobenus rosmarus,,
80014,waltz,waltz,จังหวะวอลทซ์ (ดนตรี),N,,,
80015,waltz,waltz,สิ่งที่ทำได้โดยง่ายหรือไม่ต้องเปลืองแรง (คำไม่เป็นทางการ),N,,,
80016,waltzer,waltzer,ผู้เต้นรำจังหวะวอลทซ์,N,,,
80017,wamble,wamble,บิดไปบิดมา,VI,"กลิ้งไปกลิ้งมา, ส่ายไปส่ายมา",,
80018,wamble,wamble,วิงเวียน,VI,มึนหัว,,
80019,wame,wame,ท้อง (เป็นคำที่ใช้กันในสก็อตแลนด์),N,พุง,abdomen; belly,
80020,wampum,wampum,ลูกปัดที่ทำจากเปลือกหอยใช้แทนเงิน,N,(โดยชนพื้นเมืองทางอเมริกาเหนือ),peag,
80021,wan,wan,ซึ่งซีดเผือดเนื่องจากความเจ็บป่วย,ADJ,"ซีดจาง, ซีด",ashen; pale; pasty,flushed; glowing; rosy
80022,wan,wan,ที่มีลักษณะไม่มีความสุข,ADJ,,,
80023,wan,wan,ที่ไม่สุกสว่าง,ADJ,,,
80024,wand,wand,ไม้กายสิทธิ์,N,,,
80025,wand,wand,ไม้ที่เป็นสัญลักษณ์ของอำนาจ,N,,mace; scepter; truncheon,
80026,wander,wander,เดินทางไปโดยไม่มีจุดหมายที่แน่นอน,VT,ร่อนเร่,roam; rove,
80027,wander,wander,เดินทางไปโดยไม่มีจุดหมายที่แน่นอน,VI,ร่อนเร่,roam; rove; stray,
80028,wander,wander,ออกนอกเส้นทาง,VI,,,
80029,wander,wander,ขาดสมาธิ,VI,ฝันกลางวัน,,
80030,wander,wander,ไปในทางที่คดเคี้ยว,VI,,,
80031,wander,wander,เดินเล่น,VI,,,
80032,wander,wander,พูดหรือเขียนไม่ชัดเจน,VI,"พูดหรือเขียนวกวนนอกเรื่อง, พูดนอกเรื่อง",,
80033,wander,wander,การเดินเล่นอย่างไร้จุดหมาย,N,,,
80034,wanderer,wanderer,ผู้ท่องเที่ยวไปโดยไร้จุดหมาย,N,,nomad; ranger; rover,
80035,wandering,wandering,ที่เดินทางไปอย่างไร้จุดหมาย,ADJ,"ซึ่งพเนจร, ซึ่งท่องเที่ยวไปอย่างไม่มีจุดหมายแน่นอน",roving; roaming;  traveling; drifting,
80036,wandering,wandering,การเดินทางไปอย่างไร้จุดหมาย,N,การพเนจร,,
80037,wanderingly,wanderingly,โดยเดินทางไปอย่างไร้จุดหมาย,ADV,,,
80038,wanderlust,wanderlust,ความต้องการที่จะเดินทางไป,N,ความปรารถนาที่จะเดินทาง,,
80039,wane,wane,แสดงถึงพื้นที่ที่มีแสงสว่างลดลง (ใช้กับพระจันทร์หรือโลก),VI,,,
80040,wane,wane,ลดลงเรื่อยๆ,VI,น้อยลงเรื่อยๆ,abate; decline; decrease,increase
80041,wane,wane,จบ,VI,เสร็จสิ้น,,
80042,wane,wane,การลดน้อยลงเรื่อยๆ,N,,,
80043,wane,wane,เวลาข้างแรม,N,,,
80044,wane,wane,ช่วงเวลาที่ลดน้อยลงเรื่อยๆ,N,,,
80045,wane,wane,เวลาที่เสร็จสิ้น,N,ฤดูกาลที่เสร็จสิ้น,,
80046,wangle,wangle,ได้มาด้วยเล่ห์ (คำไม่เป็นทางการ),VT,ใช้เพทุบายเพื่อให้ได้มา,,
80047,wangle,wangle,ปลอมแปลงบัญชีหรือข้อมูล,VT,,falsify; fiddle,
80048,wangle,wangle,วิธีที่ไม่ซื่อสัตย์,N,วิธีสกปรก,,
80049,wangler,wangler,ผู้ที่หลอกลวงเพื่อให้ได้มา,N,"ผู้ใช้เพทุบายเพื่อให้ได้มา, ผู้ใช้เล่ห์กลเพื่อให้ได้มา",,
80050,wank,wank,สำเร็จความใคร่ด้วยตัวเอง (คำสแลง),VI,,masturbate,
80051,Wankel engine,Wankel engine,เครื่องยนต์ซึ่งมีไม่มีลูกสูบ,N,,,
80052,wanly,wanly,อย่างซีดเผือด,ADV,อย่างอ่อนแอ,,
80053,wanness,wanness,ความอ่อนแอ,N,ความซีด,,
80054,want,want,ต้องการ,VT,"ปรารถนาที่จะได้, อยากได้",desiderate; desire; require,dislike; hate; loathe
80055,want,want,รู้สึกขาด(บางสิ่ง)ไป,VT,ขาดไป,,
80056,want,want,ล่าตัว (ผู้ต้องสงสัย) (ปกติใช้รูป passive voice),VT,ต้องการตัว (ผู้ต้องสงสัย),,
80057,want,want,ต้องการมีความสัมพันธ์ทางเพศกับ,VT,,,
80058,want,want,ความยากจน,N,,indigence; poverty; scarcity,abundance; adequate; plenty
80059,want ad,want ad,ข้อความหรือประกาศสั้นๆ รับสมัครงาน/ขายสินค้า,N,ในหนังสือพิมพ์หรือนิตยสาร (คำไม่เป็นทางการ),classified advertisement,
80060,wantage,wantage,สิ่งที่ปรารถนา,N,"สิ่งที่ต้องการ, จำนวนที่ต้องการ",,
80061,wanting,wanting,ที่ขาดแคลน,ADJ,ที่ไม่มี,absent; lacking,
80062,wanton,wanton,ซึ่งมีตัณหาราคะ,ADJ,,lascivious; libidinous; licentious,
80063,wanton,wanton,ซึ่งต้องการทำลายล้าง,ADJ,,,
80064,wanton,wanton,ซึ่งไม่เชื่อฟัง,ADJ,ซึ่งดื้อ,,
80065,wanton,wanton,คนที่มัวเมาในเรื่องทางเพศ,N,คนที่มัวเมาในตัณหาราคะ,,
80066,wantonly,wantonly,โดยมัวเมาในเรื่องทางเพศ,ADV,"โดยหมกมุ่นกับกามตัณหา, อย่างมัวเมาในตัณหาราคะ",lasciviously; libidinously; licentiously,
